imdbID,value,Type
tt0055807,Comedy,Genre
tt0055793,Drama,Genre
tt0055740,Family,Genre
tt0056173,Family,Genre
tt0056095,Family,Genre
tt0057518,Sci-Fi,Genre
tt0057312,Drama,Genre
tt0057473,Drama,Genre
tt0057542,Family,Genre
tt0057180,Drama,Genre
tt0057546,Adventure,Genre
tt0058657,Drama,Genre
tt0058355,Comedy,Genre
tt0058371,Family,Genre
tt0058331,Family,Genre
tt0058056,Family,Genre
tt0059796,Family,Genre
tt0059462,Comedy,Genre
tt0059793,Crime,Genre
tt0061135,Family,Genre
tt0060640,Comedy,Genre
tt0060408,Biography,Genre
tt0060420,Family,Genre
tt0061989,Family,Genre
tt0061333,Adventure,Genre
tt0061715,Family,Genre
tt0062793,Family,Genre
tt0061852,Adventure,Genre
tt0061749,Family,Genre
tt0062737,Family,Genre
tt0063389,Drama,Genre
tt0063341,Comedy,Genre
tt0063091,Comedy,Genre
tt0064603,Family,Genre
tt0065003,Family,Genre
tt0064875,Family,Genre
tt0065566,Family,Genre
tt0065943,Family,Genre
tt0065482,Comedy,Genre
tt0067985,Adventure,Genre
tt0065421,Adventure,Genre
tt0066811,Comedy,Genre
tt0067712,Drama,Genre
tt0066728,Family,Genre
tt0066817,Adventure,Genre
tt0068276,Family,Genre
tt0069031,Comedy,Genre
tt0068990,Drama,Genre
tt0069199,Family,Genre
tt0069291,Family,Genre
tt0070928,Family,Genre
tt0069866,Comedy,Genre
tt0070481,Family,Genre
tt0070608,Adventure,Genre
tt0070716,Family,Genre
tt0071607,Family,Genre
tt0071199,Family,Genre
tt0071288,Family,Genre
tt0071671,Family,Genre
tt0073760,Family,Genre
tt0072951,Family,Genre
tt0072653,Family,Genre
tt0075016,Adventure,Genre
tt0072696,Family,Genre
tt0075141,Family,Genre
tt0074968,Family,Genre
tt0075347,Family,Genre
tt0074599,Family,Genre
tt0075200,Family,Genre
tt0076054,Family,Genre
tt0076363,Adventure,Genre
tt0287003,Family,Genre
tt0076618,Adventure,Genre
tt0076137,Adventure,Genre
tt0076538,Adventure,Genre
tt0075807,Comedy,Genre
tt0078158,Adventure,Genre
tt0077305,Family,Genre
tt0077698,Comedy,Genre
tt0078358,Drama,Genre
tt0079639,Comedy,Genre
tt0079588,Comedy,Genre
tt0078790,Family,Genre
tt0080062,Family,Genre
tt0078869,Sci-Fi,Genre
tt0079481,Drama,Genre
tt0081738,Horror,Genre
tt0080861,Comedy,Genre
tt0081031,Family,Genre
tt0081353,Comedy,Genre
tt0082263,Family,Genre
tt0082017,Drama,Genre
tt0082288,Adventure,Genre
tt0082406,Adventure,Genre
tt0082199,Adventure,Genre
tt0082810,Family,Genre
tt0084827,Adventure,Genre
tt0086476,Mystery,Genre
tt0086336,Mystery,Genre
tt0086005,Drama,Genre
tt0086220,Drama,Genre
tt0088161,Fantasy,Genre
tt0088760,Adventure,Genre
tt0089908,Family,Genre
tt0088814,Action,Genre
tt0089652,Adventure,Genre
tt0089385,Family,Genre
tt0089731,Fantasy,Genre
tt0091668,Crime,Genre
tt0091877,Crime,Genre
tt0091149,Adventure,Genre
tt0091059,Comedy,Genre
tt0092105,Crime,Genre
tt0090863,Sport,Genre
tt0094155,Drama,Genre
tt0092974,Family,Genre
tt0092638,Family,Genre
tt0092513,Comedy,Genre
tt0094025,Comedy,Genre
tt0092718,Drama,Genre
tt0093175,Drama,Genre
tt0094137,Drama,Genre
tt0093105,Comedy,Genre
tt0096098,Adventure,Genre
tt0094933,Thriller,Genre
tt0095993,Drama,Genre
tt0096438,Adventure,Genre
tt0094889,Drama,Genre
tt0095981,Adventure,Genre
tt0095288,Musical,Genre
tt0095238,Romance,Genre
tt0095107,Family,Genre
tt0095776,Adventure,Genre
tt0094715,Drama,Genre
tt0098471,Comedy,Genre
tt0097965,Drama,Genre
tt0097211,Comedy,Genre
tt0097165,Drama,Genre
tt0097523,Comedy,Genre
tt0098536,Crime,Genre
tt0097053,Drama,Genre
tt0097579,Crime,Genre
tt0097757,Family,Genre
tt0096943,Drama,Genre
tt0100691,Romance,Genre
tt0100924,Drama,Genre
tt0100405,Romance,Genre
tt0099512,Crime,Genre
tt0100666,Comedy,Genre
tt0099575,Adventure,Genre
tt0099422,Comedy,Genre
tt0099128,Romance,Genre
tt0099052,Fantasy,Genre
tt0099472,Adventure,Genre
